	Gene	BaseMean	Log2FoldChange	lfcMLE	lfcSE	stat	p-value	padj	GO_molecular_function	GO_biological_process	category
24	Cpr76Bd	18363.5167114466	-5.65823700966739	-7.22506371768532	0.474372693569721	-11.9278303459847	8.47537308747372e-33	4.36312206543147e-30	structural constituent of chitin-based cuticle;structural constituent of chitin-based larval cuticle	chitin-based cuticle development	cuticle
25	CG4623	672.121517068114	2.50248433642873	2.5892644236268	0.212668771161521	11.7670512824288	5.77064683063532e-32	2.85647018116448e-29		mitochondrion organization;mitochondrial fission	redox
26	CG34043	352.716476350147	4.66222220632035	5.40435416237705	0.400220800977711	11.6491251702332	2.31826442925125e-31	1.0847424525918e-28	molecular_function;serine-type endopeptidase activity	biological_process;proteolysis	proteolysis
27	CG14298	1791.76925542155	-3.01993084044723	-3.18120100831296	0.259274819870315	-11.6476055868355	2.35996803982675e-31	1.0847424525918e-28	peptidase inhibitor activity;serine-type endopeptidase inhibitor activity		proteolysis
28	Cpr92F	28588.2799097144	-4.93988186279225	-5.93613942900158	0.436296227487242	-11.3223116579359	1.01752823361198e-29	4.51572012640902e-27	structural constituent of chitin-based cuticle;structural constituent of chitin-based larval cuticle	chitin-based cuticle development	cuticle
29	Pxd	5654.6031401634	-2.95638364305012	-3.12050128715945	0.263870673123621	-11.2039114011927	3.90120091207174e-29	1.67361519127878e-26	peroxidase activity;iron ion binding;heme binding	oxidation-reduction process;response to oxidative stress;eggshell chorion assembly;phagocytosis;neurogenesis;response to ethanol	redox
30	CG12715	238.661650160514	3.17911020984985	3.39774832329768	0.289097429466554	10.996674082215	3.96486914360519e-28	1.64606018961932e-25			uncharacterized
31	CG13050	36812.0851455316	-4.91996028039692	-6.14272456836398	0.464032477182761	-10.6026205542057	2.89745468312578e-26	1.16532005536965e-23			uncharacterized
32	CG43155	462.766655202413	2.70577657325382	2.84592141233216	0.255552064275711	10.5879660214155	3.38875038668853e-26	1.32161265080853e-23	open rectifier potassium channel activity;potassium channel activity	potassium ion transmembrane transport	potassium
33	Nha1	1433.86129434209	2.77610394543422	2.93165167969927	0.26493097291066	10.4785934046691	1.08343100585515e-25	4.10110501333993e-23	sodium:proton antiporter activity	transmembrane transport;renal sodium ion transport	sodium
34	CG14301	4189.98749493965	-1.9415650863313	-1.9938013172929	0.188919825748527	-10.2771907534773	8.9292336272107e-25	3.28340676520576e-22	chitin binding	chitin metabolic process	cuticle
35	CG18179	20040.5394610998	5.33945831450899	7.8864578393428	0.529008891642179	10.0933243256724	5.9132328587632e-24	2.11398074700784e-21	serine-type endopeptidase activity	proteolysis	proteolysis
36	Myo28B1	198.701552314144	3.02556481018619	3.26277073835928	0.305814251202063	9.89347225740334	4.4434278734134e-23	1.5455923440765e-20	motor activity;actin binding;ATPase activity, coupled;ATP binding;actin-dependent ATPase activity;microfilament motor activity	actin filament-based movement	binding
37	CG34461	233877.384480018	-4.77652106421955	-6.16324531930634	0.483874948081132	-9.87139566361401	5.53885033393434e-23	1.87592115257197e-20	structural constituent of chitin-based cuticle;structural constituent of chitin-based larval cuticle	chitin-based cuticle development	cuticle
38	CG12481	15182.7341533107	5.16085807346436	7.40782883840589	0.523223165560178	9.86358864279069	5.98704750181411e-23	1.97572567559866e-20			uncharacterized
39	Lsp1gamma	53264.3102662552	3.31767332673003	3.64234756727491	0.336454646089994	9.86068513330213	6.16274219201357e-23	1.98286230028036e-20	nutrient reservoir activity		other
40	CG6602	1718.28956636973	3.36427362355029	3.70835020867863	0.342284034168929	9.82889439093702	8.45417814018187e-23	2.65378713814977e-20			uncharacterized
41	mRpL4	3965.54232328994	-0.664906999665028	-0.667106189754199	0.0677999580447317	-9.806893969261	1.05155507337271e-22	3.22226518912067e-20	structural constituent of ribosome	translation	translation
42	CG11353	645.318122752249	2.42263072201933	2.54065899562322	0.248701684959145	9.74111101184257	2.01340889621517e-22	6.02617964983471e-20	transferase activity, transferring acyl groups other than amino-acyl groups		redox
43	CG44625	1327.91185959226	5.40007859804604	16.1456842146185	0.561671790543578	9.61429555295972	6.95840111952371e-22	2.03533232746069e-19			uncharacterized
44	CG43678	24.1260270671785	-4.90125086857339	-10.3906597301053	0.514299614743719	-9.52995244030221	1.57355302184204e-21	4.50036164246823e-19			uncharacterized
45	CG4793	295.116105836549	2.7438096940906	2.93013470034666	0.287994132882051	9.52731108315438	1.61409763528088e-21	4.51596447088368e-19		positive regulation of hemocyte proliferation	proteolysis
46	Eo	192.290997943353	3.43217358710049	3.83580975980543	0.360358964890512	9.52431858644972	1.66128202013889e-21	4.54908502110371e-19	flavin adenine dinucleotide binding;ecdysone oxidase activity	oxidation-reduction process;ecdysone metabolic process	redox
47	comm2	2994.33783080104	1.31407386820349	1.33256826881976	0.138368321108676	9.49692716999439	2.16175134907252e-21	5.79619580470071e-19			uncharacterized
48	Cpr35B	319.543953174311	3.94006979972134	4.66353016941013	0.423172530542389	9.31078819003508	1.26887196074752e-20	3.33273104792257e-18	structural constituent of pupal chitin-based cuticle;structural constituent of chitin-based cuticle;	chitin-based cuticle development	cuticle
49	Sgs3	372.011532966411	4.2697105597785	5.31576821680899	0.461609257884828	9.24962072758902	2.25290652794407e-20	5.79898140292803e-18	structural molecule activity;extracellular matrix structural constituent	puparial adhesion;cellular response to ecdysone	other
50	Spn77Bb	85.0919061997406	3.014258067739	3.29463877302084	0.326744792114732	9.2251143414723	2.83258524454175e-20	7.14811217593183e-18		multicellular organism reproduction	proteolysis
51	CG6484	859.875636548423	4.07577129307311	4.93787072029628	0.443706894872886	9.18572900301841	4.08749153881627e-20	1.01165415585703e-17	glucose transmembrane transporter activity	transmembrane transport	transport
52	CG15473	516.526264133059	-1.19639335122939	-1.21181460201958	0.132554796402792	-9.02565115481703	1.78629829765393e-19	4.33767152656718e-17			uncharacterized
53	Fbp1	251160.729389049	4.44390150581234	5.89384109571823	0.498949453601272	8.90651642914437	5.26611633709611e-19	1.25509106034124e-16	protein transporter activity	storage protein import into fat body	transport
54	CG32762	30900.9496295902	4.97238905517823	10.2335212786606	0.566014597025722	8.78491311232431	1.56485446204419e-18	3.66175944118339e-16			uncharacterized
55	Cpr64Ab	6282.30642868217	4.7862790965644	7.71810445903406	0.549934740166002	8.70335832051567	3.22204567593662e-18	7.40495140166148e-16	structural constituent of chitin-based larval cuticle;structural constituent of chitin-based cuticle	chitin-based cuticle development	cuticle
56	CG32633	3086.90798819445	2.84570188146983	3.10970267032399	0.329261643872949	8.64267652920998	5.4911219239573e-18	1.23983752914615e-15			uncharacterized
57	CG42717	40612.0395937858	4.82958650287415	8.77591989504599	0.561909486434251	8.59495456024706	8.32977525251633e-18	1.84834840517043e-15	serine-type endopeptidase inhibitor activity		proteolysis
58	Victoria	305.959088580397	2.48901327966396	2.66301310047826	0.291784651074698	8.53030915264547	1.45957134932304e-17	3.18384462131992e-15	molecular_function	response to bacterium;cellular response to UV;cellular response to heat	defense
59	Timp	4929.92659340257	1.30050098488402	1.32344814336909	0.15439131210962	8.42340781429878	3.65688837165322e-17	7.84402555719616e-15	metalloendopeptidase inhibitor activity	cell adhesion;phototaxis;wing disc morphogenesis;delamination;imaginal disc-derived wing expansion;basement membrane organization;tracheal outgrowth, open tracheal system;tracheal pit formation in open tracheal system	proteolysis
60	CG13049	5813.47793454605	4.47414889564938	6.50353816400507	0.531572209075389	8.41682243590511	3.86833317034166e-17	8.16154883644215e-15		Golgi organization	other
61	CG11878	82.7290805861718	3.59998095830565	4.30133344632123	0.428061459837279	8.40996281158815	4.10140740358235e-17	8.51372794904918e-15	transferase activity, transferring phosphorus-containing groups		redox
62	CG11741	1317.63258455079	2.64960593812792	2.87176933738251	0.315613136390893	8.39510664361679	4.65471573970855e-17	9.39754411949131e-15			uncharacterized
63	CG8785	4070.00831824994	2.45456734041064	2.62652801088851	0.292396954288573	8.39464058845214	4.67321541295605e-17	9.39754411949131e-15	amino acid transmembrane transporter activity	amino acid transmembrane transport	transport
64	Cpr92A	8170.78973509515	-3.95553678541714	-5.00368663047396	0.475243466497922	-8.32317972631074	8.56344499202085e-17	1.69556210842013e-14	structural constituent of chitin-based larval cuticle;structural constituent of chitin-based cuticle	chitin-based cuticle development	cuticle
65	Obp56d	5961.98418322211	3.41584923050305	3.98271320258083	0.411319874797812	8.30460534439806	1.00151776346721e-16	1.95295963876106e-14	odorant binding	sensory perception of chemical stimulus;olfactory behavior;response to pheromone	binding
66	Cpr62Bc	48014.0248610882	-4.00322712377264	-5.14814741905471	0.484903446828886	-8.25572008191006	1.50989120627027e-16	2.90034325741766e-14	structural constituent of chitin-based cuticle;structural constituent of chitin-based larval cuticle	chitin-based cuticle development	cuticle
67	CG33985	275.344534447892	2.98749167209751	3.3430279835685	0.36321774151254	8.22507088903962	1.95075446420795e-16	3.69208969917005e-14	chitin binding	chitin metabolic process	cuticle
68	Jhe	15128.0248644372	2.49273360210598	2.68286222940357	0.303325961159682	8.21800281313117	2.06920114968581e-16	3.85950997050092e-14	juvenile-hormone esterase activity;protein binding;carboxylic ester hydrolase activity	juvenile hormone catabolic process;behavioral response to ethanol;male mating behavior	binding
69	CG18577	363.289893945527	3.70428891384655	4.56365521365585	0.456799427029728	8.10922408097827	5.09440219999587e-16	9.36642233056384e-14			uncharacterized
70	CG43679	3263.26805381716	3.98884532714756	5.20462767602145	0.492586753676812	8.09775191349268	5.59840899345145e-16	1.01481019360169e-13			uncharacterized
71	CG6125	352.807510824738	3.12603845884196	3.56699210044413	0.387275873826852	8.07186470965032	6.92325660950272e-16	1.23753211894861e-13	high-affinity sulfate transmembrane transporter activity;transporter activity	transmembrane transport;sulfate transport	transport
72	CG33764	18.7813395358875	4.35090371802899	10.0040426552944	0.54007673422289	8.05608433455193	7.87772919266628e-16	1.38885444807692e-13			uncharacterized
73	fon	39144.65386308	2.7471406756596	3.03358430573211	0.345419789571857	7.95304947369877	1.81975630232319e-15	3.16490048795938e-13		hemolymph coagulation;metamorphosis	other
74	CG14964	786.7862508726	-1.62358526716106	-1.6756502505074	0.205172401890286	-7.91327318977947	2.5070837619793e-15	4.30215573555648e-13	myosin binding		binding
75	CG14342	422.602516256649	1.73760416512118	1.80212839496606	0.219722264680865	7.90818430551388	2.61169965002698e-15	4.42270717050622e-13			uncharacterized
76	CG15202	33449.1305259427	4.00875136564956	5.45341516484458	0.51203465772251	7.82906255502346	4.91521054214891e-15	8.2154233347346e-13			uncharacterized
77	CG16884	82891.3568483124	-3.46001935207635	-4.21642725790467	0.450546744169957	-7.67960127744515	1.59584508202298e-14	2.63314438533792e-12			uncharacterized
78	CG16885	78866.4554989584	-3.439121904044	-4.17861958635774	0.448272330420378	-7.67194776625825	1.69403942129732e-14	2.75978320912614e-12			uncharacterized
79	CG13102	1480.38663508457	3.19565102885837	3.74558002563872	0.416671937553126	7.66946544954426	1.72714617000543e-14	2.77854640099624e-12			uncharacterized
80	CG32191	226.044853392496	-3.46436901793444	-4.26053461561147	0.455823629334952	-7.60024008186888	2.95581868252342e-14	4.69646746223165e-12	N-acetylgalactosamine-4-sulfatase activity	metabolic process	metabolic
81	CG4404	1768.07850278596	-1.09218903842352	-1.10888741704641	0.144044209142101	-7.58231826831763	3.3943435474918e-14	5.32746359222189e-12	DNA binding		binding
82	kin17	2979.74095923468	0.322273253299206	0.322693113830272	0.0426391698509182	7.55815027417252	4.08841552041337e-14	6.33950695755664e-12	nucleic acid binding	mRNA splicing, via spliceosome	binding
83	CG3588	224.143616076126	3.16706438259692	3.73296822084691	0.420772049856956	7.52679362536933	5.2001461794613e-14	7.96736682496035e-12			uncharacterized
84	CG13685	507.540740682111	-1.34201742255548	-1.37436470701455	0.17926792732379	-7.48609883870392	7.09509719803203e-14	1.07428118751379e-11			uncharacterized
85	CG7025	81.3581711790728	1.84767088059852	1.93706473792573	0.24763073643906	7.46139557297333	8.56108003313298e-14	1.28117558170257e-11	metallocarboxypeptidase activity;zinc ion binding	proteolysis	proteolysis
86	Cpr76Ba	2565.85940015344	-4.23823925191843	-8.87584106908947	0.575565153594733	-7.36361335540939	1.78997661190709e-13	2.64793091899359e-11	structural constituent of adult chitin-based cuticle;structural constituent of chitin-based cuticle;	chitin-based cuticle development	cuticle
87	CG16713	6463.51755859981	2.84300624020295	3.24146841138196	0.387429152922609	7.33813193652686	2.1659560353617e-13	3.16771070171648e-11	serine-type endopeptidase inhibitor activity	lateral inhibition	proteolysis
88	CG14515	7070.50205889757	-3.49975432503088	-4.43247215827437	0.47730713803525	-7.33228993690938	2.26252943543212e-13	3.27177009370914e-11			uncharacterized
89	Tsp42Er	1996.80875921314	2.44834547791961	2.68345987653829	0.334062653041699	7.32900087940689	2.31874865187257e-13	3.31581057217778e-11			uncharacterized
90	CG2070	2282.95733439154	4.04478062654502	6.35351955702639	0.552145379925975	7.32557180336689	2.37882216043803e-13	3.36433419833379e-11	oxidoreductase activity	metabolic process	redox
91	Lcp65Ad	130717.705397669	4.11208688680703	6.93839889579523	0.562537246299973	7.30989265840409	2.67355875054358e-13	3.74007620864086e-11	structural constituent of chitin-based larval cuticle;structural constituent of chitin-based cuticle	chitin-based cuticle development	cuticle
92	CG31663	719.321610112392	0.989873445563657	1.00333157775331	0.136046950238576	7.27596939018321	3.43941576557678e-13	4.75970762397561e-11			uncharacterized
93	TwdlC	3438.029252724	4.13069445180822	7.47686690000624	0.569097951115022	7.25831896550504	3.91930479966054e-13	5.36611199698204e-11	structural constituent of chitin-based cuticle	chitin-based cuticle development	cuticle
94	CG3355	62681.5359023153	3.99670385061741	6.3246291113027	0.554133844174312	7.21252436146128	5.49240002843011e-13	7.44075667009427e-11	serine-type endopeptidase activity	proteolysis	proteolysis
95	Fst	726.041396635401	3.77241827536271	5.28050895569398	0.523454886910964	7.20676866276803	5.72952190346452e-13	7.68114030183212e-11			uncharacterized
96	Cht4	1390.0908736826	3.30835158031964	4.08527995208111	0.460525886369672	7.18385584445511	6.77723232921116e-13	8.99205980174718e-11	chitinase activity;chitin binding	cuticle chitin catabolic process;carbohydrate metabolic process;chitin catabolic process	cuticle
97	CG33470	3362.05856538474	2.96888359585637	3.47253779463757	0.414961983554178	7.15459177833032	8.39222837088333e-13	1.10212223605376e-10			uncharacterized
98	CG43219	107.481210532262	-2.82054222192978	-3.24556764460923	0.396275843566633	-7.11762341237817	1.09803889330995e-12	1.42745056130293e-10			uncharacterized
99	ACXD	303.913284547472	1.77061501116338	1.85732367402164	0.2493830001691	7.09998279739508	1.24772419156739e-12	1.60582103454724e-10	adenylate cyclase activity	intracellular signal transduction;cyclic nucleotide biosynthetic process	other
100	CG32829	206.970591466793	-1.37054132928743	-1.40973399313189	0.194316595645856	-7.05313575884818	1.749300256489e-12	2.2290588416845e-10			uncharacterized
101	CG8129	785.435590892009	1.16297119503782	1.18653415811046	0.165013271066149	7.04774341799223	1.81842544366043e-12	2.29442504508918e-10	L-threonine ammonia-lyase activity;amino acid binding	metabolic process	binding
102	CG11594	1903.0785340549	1.25003766108151	1.27950686454411	0.17742029638636	7.0456294265193	1.84625008230381e-12	2.30691636497573e-10	phosphotransferase activity, alcohol group as acceptor	carbohydrate metabolic process;response to endoplasmic reticulum stress	transferase
103	CG4301	157.266567976327	1.72341318333163	1.80473259553584	0.245117449887103	7.03096896661336	2.05104123061986e-12	2.53816352289208e-10	ATP binding;magnesium ion binding;phospholipid-translocating ATPase activity	phospholipid translocation	binding
104	Cda5	7519.58621865714	-1.35987918539496	-1.39838959005107	0.193559465898924	-7.02564030686614	2.13086758777946e-12	2.61183484330682e-10	chitin binding;hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	chitin metabolic process;carbohydrate metabolic process	cuticle
105	CG30427	9349.88397975969	-2.79146018839961	-3.21203784687657	0.397955262618101	-7.0145075354323	2.30760291564918e-12	2.80177825701933e-10	Male sterility, NAD-binding; NAD(P)-binding domain; Fatty acyl-CoA reductase		redox
106	CG8329	2531.19546828313	4.00106541073273	7.38236387046443	0.571823009156014	6.99703465349904	2.61436640929345e-12	3.14456969043054e-10	serine-type endopeptidase activity	proteolysis	proteolysis
107	dia	2761.186223135	1.24226103748178	1.27171923072675	0.177917738053991	6.98222139663672	2.90548764793198e-12	3.46237278045228e-10	actin binding;protein binding;phosphatidylinositol-4,5-bisphosphate binding;Rho GTPase binding	spermatogenesis;pole cell formation;protein localization;actin filament organization;mitotic cell cycle, embryonic;cellularization;actomyosin contractile ring assembly;mitotic cytokinesis;meiosis I cytokinesis;spindle assembly;meiosis II cytokinesis;open tracheal system development;maintenance of protein location in cell;regulation of embryonic cell shape;sensory perception of sound;pseudocleavage involved in syncytial blastoderm formation;protein secretion;apical constriction;regulation of filopodium assembly;neurogenesis;melanotic encapsulation of foreign target;membrane tubulation;positive regulation of actin filament polymerization;actin nucleation;positive regulation of wound healing;actin cytoskeleton reorganization	binding
108	CG9911	8564.97656466306	0.867307129401492	0.877184525648144	0.124806079062126	6.94923785699381	3.67264878870923e-12	4.33642109272365e-10	protein disulfide isomerase activity	cell redox homeostasis	redox
109	CG43235	18981.2951303098	3.3013948720734	4.19773967524576	0.480321742812535	6.8732988282854	6.27339569314555e-12	7.33987296098029e-10	carboxypeptidase activity	proteolysis	proteolysis
110	TwdlBeta	12117.6824243642	3.15886768997094	3.90358413705057	0.461582613143404	6.84355866105718	7.72496699338653e-12	8.95678605449411e-10	structural constituent of chitin-based cuticle	body morphogenesis;chitin-based cuticle development	cuticle
111	CG16786	9414.6348519907	-0.809845036273445	-0.818156031702418	0.118607202746685	-6.8279583155086	8.61316031376345e-12	9.89744403911925e-10			uncharacterized
112	hebe	2579.7114244087	1.43240007027174	1.48073694276485	0.21017211295283	6.81536693972915	9.40234641301555e-12	1.0614754239957e-09		determination of adult lifespan	other
113	TM4SF	5287.8290127001	-2.03425535460064	-2.18359452035951	0.298440609917125	-6.81628199046215	9.34268270018599e-12	1.0614754239957e-09			uncharacterized
114	CG17283	16.3769691093955	3.84063808864949	9.80340880167773	0.563787276028866	6.8122113640125	9.61097556117043e-12	1.07559352584577e-09	aspartic-type endopeptidase activity	autophagic cell death;salivary gland cell autophagic cell death;proteolysis	proteolysis
115	mRpL36	4136.17582528834	-0.517691962807266	-0.519862124649365	0.076261848408542	-6.78834795655543	1.13424827513395e-11	1.25842890525637e-09	structural constituent of ribosome	translation;mitochondrial translation	translation
116	CG4962	44825.1091744962	-3.86323787361899	-6.80611956071723	0.569469953665644	-6.78391871028763	1.16959154942449e-11	1.28655070436694e-09			uncharacterized
117	CG1213	2720.85172546944	1.66895332803214	1.74824985200704	0.24609451493341	6.78175752305465	1.18722618125637e-11	1.29488143667538e-09	glucose transmembrane transporter activity	transmembrane transport	transport
118	Cpr47Ef	1859.82669968416	-3.54175068029326	-4.93093416668152	0.523134419313307	-6.77024976667058	1.28560259376208e-11	1.3903954102284e-09	structural constituent of chitin-based larval cuticle;structural constituent of chitin-based cuticle	chitin-based cuticle development	cuticle
119	mRpL21	3554.96621426003	-0.621205561960488	-0.625049898855513	0.092473413228092	-6.71766662736069	1.8465755562397e-11	1.98045228406707e-09	structural constituent of ribosome;RNA binding	translation;mitochondrial translation	translation
120	CG44194	1715.52633008004	-0.738491693292213	-0.7450429694801	0.110417066909102	-6.68820241258681	2.25928507805461e-11	2.38336057004613e-09	mitochondrial respiratory chain complex assembly		redox
121	CG17327	1715.52633008004	-0.738491693292213	-0.7450429694801	0.110417066909102	-6.68820241258681	2.25928507805461e-11	2.38336057004613e-09	aminoacyl-tRNA hydrolase activity		other
122	CG15756	5732.9838641686	3.78305649869483	6.45596835845783	0.566748013563575	6.6750238345043	2.47191987960532e-11	2.58647226426996e-09	structural constituent of cuticle;structural constituent of chitin-based larval cuticle	chitin-based cuticle development	cuticle
123	mRpL17	4453.15256645332	-0.652943267461818	-0.657497435033451	0.0980996417769139	-6.65591897824318	2.81535322956358e-11	2.92206419874865e-09	structural constituent of ribosome	translation	translation
124	CG14457	3381.358351033	-2.27110697036	-2.50149953538253	0.341708244378674	-6.64633355419778	3.00483891888982e-11	3.09378215088896e-09			uncharacterized
125	CG9021	18812.8257512992	3.8006407853629	6.86135064631294	0.572222652182651	6.64189152747793	3.09682848457072e-11	3.16318909495438e-09			uncharacterized
126	CG42807	5307.481240428	3.0765073687816	3.81332644111641	0.463889030521601	6.63198990785005	3.31191230609038e-11	3.35624499050261e-09			uncharacterized
127	CG11192	1498.68288945921	3.68575228131162	5.83978488998455	0.556474618130274	6.62339693712457	3.51036707208854e-11	3.52956439201402e-09	serine-type endopeptidase activity	proteolysis	proteolysis
128	ttm50	3625.02503292442	-0.646794137833255	-0.651310833184937	0.0981576867960434	-6.58933761527198	4.41793132750686e-11	4.40765706860568e-09	protein tyrosine phosphatase activity;protein serine/threonine phosphatase activity	mitotic nuclear division;protein transport;mitochondrion organization;mitochondrial membrane organization;protein dephosphorylation	redox
129	br	4828.59918809075	2.58834386974684	2.96560770086032	0.393272488520716	6.58155336388475	4.65558349633405e-11	4.60902766137071e-09	RNA polymerase II regulatory region sequence-specific DNA binding;sequence-specific DNA binding transcription factor activity;DNA binding;metal ion binding	positive regulation of transcription from RNA polymerase II promoter;progression of morphogenetic furrow involved in compound eye morphogenesis;regulation of transcription, DNA-templated;metamorphosis;salivary gland cell autophagic cell death;salivary gland histolysis;compound eye photoreceptor fate commitment;ecdysone-mediated induction of salivary gland cell autophagic cell death;autophagy;cell death;regulation of development, heterochronic;response to symbiont;response to ecdysone;larval central nervous system remodeling;eclosion;cellular response to ecdysone;muscle fiber development;gravitaxis;male genitalia morphogenesis;oogenesis;negative regulation of gene expression;dendrite morphogenesis	binding
130	CG12811	7014.66073685087	1.0003367585318	1.01752741913767	0.152436812335922	6.56230436206828	5.29825302719359e-11	5.20523026412072e-09			uncharacterized
131	Obp44a	202275.003085808	-0.437260758605897	-0.438658392348543	0.0666612962713917	-6.55943978085454	5.40102986793912e-11	5.26600412124064e-09	odorant binding	sensory perception of chemical stimulus	binding
132	mRpL11	2645.14107674221	-0.523918388084254	-0.52634075265011	0.0800594307129169	-6.5441183308305	5.98473977428595e-11	5.79124818759851e-09		translation	translation
133	CG5756	714.582520339265	3.54180473254988	5.31379816509104	0.545656918668629	6.49090043830412	8.53248547789974e-11	8.19500657466938e-09	chitin binding	chitin metabolic process	cuticle
134	CG12826	569.314160657138	3.25395020296823	4.30864326866936	0.502311860457936	6.47794818143801	9.29782710841229e-11	8.86392851001971e-09			uncharacterized
135	Odc1	375.97555738209	2.10201993428124	2.29059849068601	0.324627572486502	6.47517374504175	9.47029041072362e-11	8.96195864603037e-09	ornithine decarboxylase activity	polyamine biosynthetic process	other
136	CG8503	2352.61476636264	-1.16887456501118	-1.19758891492181	0.180935020503394	-6.46018975076888	1.04571774623924e-10	9.82364043364896e-09	zinc ion binding;histone deacetylase binding	negative regulation of gene expression	transferase
137	CG31704	8989.05850779192	3.52426620491754	5.28819391206346	0.546315834407541	6.45096843795397	1.11137646355934e-10	1.0364793540586e-08	serine-type endopeptidase inhibitor activity	proteolysis;multicellular organism reproduction	proteolysis
138	CG43103	3399.68982441466	1.56398718647028	1.63683895281041	0.243891540502079	6.4126340062908	1.43026605519449e-10	1.32428231153619e-08			uncharacterized
139	CG32036	7691.85673885031	-2.86049984779579	-3.47201708660658	0.448383853721741	-6.37957817627162	1.77576419497573e-10	1.63243465638126e-08	chitin binding	chitin metabolic process	cuticle
