"","GeneID","G3R3","G1R2","G1R3","G1R4","G3R1","G3R2","G1R1","G3R4","external_gene_id","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"7277","FBgn0036977",320.706441028716,9.72726059827566,19.5264648655852,7.40879906321049,302.487360965226,297.657390870329,7.86093047746437,316.517418863857,"CG5665","",160.236508341583,4.82163216234061,0.251701379940434,19.1561610170022,8.59862792628576e-82,1.02558180357154e-78
"794","FBgn0004593",6454.7043309017,13.1634669662218,30.1331483942509,24.7152564905556,5591.66446287193,16413.632673823,18.1942804112626,18146.5054647988,"Eig71Ef","Ecdysone-induced gene 71Ef [Source:FlyBase gene name;Acc:FBgn0004593]",5836.58913558222,9.08434745012255,0.491767000722213,18.4728691367684,3.41444941724487e-76,3.73313136285439e-73
"795","FBgn0004594",8923.37292953134,8.22519788784772,29.0277132705546,22.8186358475827,7202.37272056408,19410.9822644129,34.1027583893682,21236.5317106836,"Eig71Eg","Ecdysone-induced gene 71Eg [Source:FlyBase gene name;Acc:FBgn0004594]",7108.42924132341,9.24721295837389,0.516744990585284,17.8951187275181,1.2872220436142e-71,1.29910409324756e-68
"6041","FBgn0034990",889.451026731545,10.1682842705466,30.6888122768111,24.0934963694096,953.367724713393,1154.09560421106,12.2977659540355,1256.58417448805,"CG11406","",541.343361126856,5.82804471484229,0.338992797576527,17.1922375829434,3.03586120853702e-66,2.84503564685755e-63
"12194","FBgn0262874",629.445663163264,0.825863282054032,3.24167629400131,3.82945106840296,722.176903292719,1169.34583711166,2.28119432781569,713.107001387172,"CG43229","",405.531698740886,8.34864791052486,0.539584649794908,15.4723599229483,5.33160974935737e-54,4.66338132743791e-51
"7025","FBgn0036602",147.474625289286,9656.79190121466,5989.24300516767,9206.73916208595,268.353036635563,257.056697521053,5717.79808596888,357.121309767461,"CG13042","",3950.07222795632,-4.89107298410537,0.318437801238161,-15.3595865977209,3.05516549207037e-53,2.50523570349771e-50
"5960","FBgn0034856",626.796672471746,3058.84733133148,2967.14700507642,3269.80235965313,481.508373605506,675.933873245399,2439.76590225168,683.721063157443,"yellow-d2","yellow-d2 [Source:FlyBase gene name;Acc:FBgn0034856]",1775.4403225991,-2.25011924279668,0.160652940730997,-14.0060881086787,1.43071506669894e-44,1.04283231528278e-41
"8000","FBgn0038095",1509.36322471945,298.31202823145,251.700912988931,286.500426250049,1433.92987684796,2206.30642800884,334.142445721299,1800.19682551013,"Cyp304a1","Cyp304a1 [Source:FlyBase gene name;Acc:FBgn0038095]",1015.05652103476,2.56962314133598,0.183880972141178,13.9743830555948,2.23441437484655e-44,1.54292192620983e-41
"11655","FBgn0260645",1455.49079726599,34.4950122139934,69.37634306229,22.8480306644241,3059.88884862461,2252.95849671868,34.0300741899239,1388.66992551254,"CG42537","",1039.71969103156,5.67088338046407,0.413653811085128,13.709249687771,8.93772979363527e-43,5.86315074462474e-40
"9104","FBgn0039848",1830.74610311094,35.6209262372203,72.8937171251272,62.4199282271013,5572.59784718068,5455.24278021934,59.6851284731582,9601.41060886777,"lox","lysyl oxidase-like [Source:FlyBase gene name;Acc:FBgn0039848]",2836.32712993017,6.6082364876852,0.484755772983798,13.6320944607008,2.58066045097458e-42,1.61229833889459e-39
"11585","FBgn0260226",873.947114214085,6.43831305897068,7.55059388578538,3.36161071480461,378.117039538226,1794.58519618691,5.07710520900246,1332.37594202919,"CG42500","",550.181614354622,7.62561188428739,0.571274197614555,13.3484269307617,1.2097665659067e-40,7.21460788395267e-38
"3960","FBgn0031542",60.4158446502031,1918.47383219454,2266.48316110687,2853.44110265426,139.575440013809,96.5559754074347,1371.52812728981,139.911989866739,"CG15414","",1105.79818414796,-4.26702908307882,0.340986126487972,-12.5137908894641,6.27562103580656e-36,3.57983252129487e-33
"7216","FBgn0036881",100.886497327241,27627.8330225358,27014.0103223515,62930.004486888,160.331141905658,162.840761604712,15293.2952683912,482.245174534913,"Cpr76Bd","Cuticular protein 76Bd [Source:FlyBase gene name;Acc:FBgn0036881]",16721.4308344424,-7.19559776691088,0.589843780653602,-12.1991584940295,3.14052697398196e-34,1.64814855594573e-31
"1370","FBgn0014848",527.49358059995,4.11647114922471,3.34453174649749,1.90009535956272,1538.7971385272,6209.61881052833,3.41481959823855,5808.54743409592,"Eig71Eh","Eig71Eh [Source:FlyBase gene name;Acc:FBgn0014848]",1762.15411020062,10.1037126018525,0.829300435493789,12.1834164910772,3.80981384196674e-34,1.92249067717706e-31
"6410","FBgn0035587",338.236003452567,69.40557301825,68.3630564122716,82.9025030667365,427.103253157554,303.74385428114,94.6639439919815,363.405221121647,"CG4623","",218.477926062768,2.1888962036921,0.181571141017528,12.0553089627872,1.81849301801733e-33,8.83652903569905e-31
"12728","FBgn0266569",2610.06243978405,121.434152999248,167.149600701919,179.159894539024,1444.26516616751,2825.31840998413,169.02074783604,1315.94806996186,"CG42259","",1104.04481024672,3.68669706841143,0.310829568747037,11.8608312692792,1.89088444742525e-32,8.86014426793546e-30
"8450","FBgn0038819",199.498022445666,15159.298905807,18053.1474513019,40517.0176161246,407.398018539012,240.239791919418,8283.63610347558,503.602200503469,"Cpr92F","Cuticular protein 92F [Source:FlyBase gene name;Acc:FBgn0038819]",10420.4797637646,-5.92382047695311,0.520243888769159,-11.3866219379688,4.87525928306569e-30,2.20563454461455e-27
"783","FBgn0004577",726.984443403942,4025.94542855159,4669.82302224528,6530.95331494456,345.328158233494,636.853954833247,4455.91042674588,612.730526569354,"Pxd","Peroxidase [Source:FlyBase gene name;Acc:FBgn0004577]",2750.56615944092,-3.08385581303877,0.275258848770094,-11.2034756623374,3.92044282339629e-29,1.71454032809864e-26
"9253","FBgn0040299",330.533012072165,45.6764876802081,36.2282413402509,38.1909578912172,229.634169450768,422.836058856109,36.5639908545499,517.71907863124,"Myo28B1","Myosin 28B1 [Source:FlyBase gene name;Acc:FBgn0040299]",207.172749597064,3.2560144745506,0.298410777451072,10.9111825731042,1.01921764982572e-27,4.17879236428547e-25
"6670","FBgn0036023",1227.86985890818,15.7180915881623,44.2678711116095,19.8806467704446,2136.13066908342,6864.98112003663,27.4969706110831,12993.5824182997,"CG18179","",2916.24095580115,7.7610342947408,0.718845244867957,10.7965300600499,3.5745827204843e-27,1.42116743311376e-24
"10538","FBgn0052762",635.11829607857,9.52014564293017,14.4940690113276,12.3964702456934,2706.62339846981,9826.51243826321,6.92093948023012,26136.6071216827,"CG32762","",4918.52410985931,9.82517284057975,0.915188944903907,10.7356769280155,6.92098636042609e-27,2.67068650143501e-24
"12135","FBgn0262685",200.55071750411,40.6051771943058,39.7399188010847,44.4393754582572,357.773492402142,403.280748087321,40.1910662577478,276.232732703885,"CG43155","",175.351653551107,2.90643486180203,0.271282489779221,10.713683968941,8.77970003260981e-27,3.29113326936688e-24
"7015","FBgn0036591",52.4653910718042,12552.4075366005,9147.76753879661,2007.5509097963,191.301500298811,111.758577005779,10243.3457488179,119.496905436639,"CG13050","",4303.26176347804,-6.15876447983489,0.576921964957839,-10.6752123405199,1.32953201688683e-26,4.84540557265421e-24
"3252","FBgn0030443",134.817140861426,13.4980252491659,16.9132192619377,11.7734121068416,110.794384087822,209.237153355003,17.8786433713427,177.972175566528,"CG12715","",86.6105192325083,3.40623427147403,0.322280408403663,10.5691633206808,4.1417310244505e-26,1.46863543353488e-23
"8348","FBgn0038654",19.0639990453575,229.736603145066,311.735916496251,273.693745823775,50.090005529879,26.9427573720828,263.17361932604,36.0088366073414,"CG14298","",151.305685418224,-3.01590761278551,0.286844516345563,-10.5140849516964,7.43994963934206e-26,2.56874050705705e-23
"6393","FBgn0035557",615.40905866199,93.217695761463,110.921959253457,125.56331175897,548.932817651798,866.27305718232,100.636916162,458.36488192801,"CG11353","",364.914962295001,2.53206784514199,0.24093204017515,10.5094691569509,7.81320914747561e-26,2.62844369268923e-23
"11367","FBgn0250833",911.532842196886,136041.529402382,130100.623546517,228382.188605668,935.605858724425,1304.14890887675,88871.5222729216,4845.12708178704,"CG34461","",73924.0348148843,-6.18895637542293,0.601517249476782,-10.2889092221483,7.90669589293298e-25,2.59339625288202e-22
"3348","FBgn0030597",133.989046417682,9.94610413090804,18.7604991883493,4.7269007274309,119.871130473157,188.743520573071,10.3375970738582,137.219308654324,"Eo","Ecdysone oxidase [Source:FlyBase gene name;Acc:FBgn0030597]",77.9492634048476,3.74853808578942,0.365677950639063,10.2509272961042,1.17213575391713e-24,3.75083441253481e-22
"4168","FBgn0031865",1000.7427346777,181.869803583629,234.568074294934,143.325592831979,996.964930183222,1598.69456304291,168.021129870683,1880.45639746923,"Nha1","Na[+]/H[+] hydrogen antiporter 1 [Source:FlyBase gene name;Acc:FBgn0031865]",775.580403244287,2.91247796096868,0.285002584538891,10.2191282429274,1.62798316365115e-24,5.08550931121502e-22
"3311","FBgn0030542",482.425309969888,16.5111822771789,21.093095451275,8.5329798376166,921.308956745489,3801.45133034081,19.4232670979103,4898.62627156642,"CG12481","",1271.17154916082,7.27123079896252,0.719783641385441,10.101967286957,5.4144928389177e-24,1.65204990806047e-21
"8337","FBgn0038632",648.635713284857,1980.66923697064,1915.05424590048,1873.9267119232,460.783114221868,352.854385494692,1673.24469849266,457.540658598213,"CG14301","",1170.33859561082,-1.9548726234551,0.198385002990653,-9.85393348280068,6.59127274214861e-23,1.92172218615533e-20
"377","FBgn0002564",33194.5521589694,3122.10067891037,4493.329628179,4398.14631391951,25360.468473212,75484.8320973305,3685.85569965319,63162.576707176,"Lsp1gamma","Larval serum protein 1 gamma [Source:FlyBase gene name;Acc:FBgn0002564]",26612.7327196687,3.65091399718386,0.370979725124835,9.84127635534617,7.47563388896932e-23,2.13218079615821e-20
"10867","FBgn0054043",99.3833819838137,1.65624179044018,2.20998551584636,0.945985189718575,73.075964032521,121.25538454671,4.58914302424809,151.522806918332,"CG34043","",56.8298616252037,5.62848017844947,0.582437664333051,9.66366106301632,4.30208560149722e-22,1.20092261897114e-19
"6455","FBgn0035673",980.992167863385,64.6117229673511,38.6584188672546,88.9041227109493,636.988996586625,939.81240524494,51.6474064763612,403.101381339016,"CG6602","",400.589577756985,3.59803573802132,0.376195371966738,9.5642743269565,1.12991347617191e-21,3.08843016820321e-19
"11910","FBgn0261634",384.277043746366,9.85433474514667,8.95369578691395,7.61699320709738,448.718806534643,5566.60020579809,12.4751580065819,6693.47570767966,"CG42717","",1641.49649318806,8.39643688071036,0.893639064427545,9.39578093096123,5.67949241858258e-21,1.52071307207762e-18
"565","FBgn0003373",270.620473281203,4.96747202451878,1.10541309342064,1.89231772538769,121.806889906099,109.471258556948,8.02829178413612,158.245692287019,"Sgs3","Salivary gland secretion 3 [Source:FlyBase gene name;Acc:FBgn0003373]",84.5172260823416,5.37699477355881,0.573022646692005,9.38356416556936,6.37794796649947e-21,1.67357354640946e-18
"9459","FBgn0041160",1177.26063850844,425.837079639369,514.596740879635,480.408848502384,1002.2528402333,1337.70153672419,540.682111408658,1307.72231388862,"comm2","comm2 [Source:FlyBase gene name;Acc:FBgn0041160]",848.307763723074,1.29995313670274,0.139405111739566,9.32500336954132,1.10980066746563e-20,2.85501661904885e-18
"6360","FBgn0035511",825.465898039556,4.95086034576686,4.44406067772864,6.63917762510245,1526.80415580091,1393.10281835717,3.42532608000598,70.5924409733338,"Cpr64Ab","Cuticular protein 64Ab [Source:FlyBase gene name;Acc:FBgn0035511]",479.428092237447,7.60830927555278,0.819199757139723,9.28748966200573,1.57970027689181e-20,3.98570531400395e-18
"2544","FBgn0028514",367.975173577566,26.531691587948,41.9145895618901,24.5739127163455,180.715447701529,244.452379122119,33.3247344492346,198.185426208007,"CG4793","",139.70916936558,2.97979098841492,0.321450231681964,9.26983618217783,1.86432037884301e-20,4.61507233404157e-18
"4314","FBgn0032088",280.60912599811,37.6714348329463,49.9725987445345,31.3636413892385,294.561730846296,549.400542716696,67.2173852378922,426.941782423394,"CG13102","",217.217280273638,3.07902562531182,0.334418593184234,9.20710058610754,3.35052677964705e-20,8.14053913869803e-18
"6359","FBgn0035510",66.6635401268758,5458.68411352794,9739.08677907262,69366.4239112258,46.8543049177194,52.5984806337391,2750.47061187503,122.009286662173,"Cpr64Aa","Cuticular protein 64Aa [Source:FlyBase gene name;Acc:FBgn0035510]",10950.3488785052,-8.24327066608176,0.905110089635738,-9.10747848297578,8.43188106125904e-20,2.01138690043125e-17
"2135","FBgn0025879",1897.64014396467,734.091124232073,670.218250693498,715.841341620277,1700.0179057973,2161.43821507508,711.80459208508,1430.43339997484,"Timp","Tissue inhibitor of metalloproteases [Source:FlyBase gene name;Acc:FBgn0025879]",1252.68562168035,1.34358811870907,0.147753302487442,9.09345575421753,9.59401055792194e-20,2.24773961642743e-17
"201","FBgn0000639",75956.5233592749,4184.35398025102,4255.55546605863,5237.14319390109,172542.659164002,519062.730363662,10538.1314015464,679966.95407651,"Fbp1","Fat body protein 1 [Source:FlyBase gene name;Acc:FBgn0000639]",183968.006375651,5.90155654155335,0.657927548603322,8.96991857854476,2.96733704036219e-19,6.83008104728981e-17
"10378","FBgn0052274",565.407693746091,4.03925793676232,18.4114401952673,1.95372932006911,288.949381314044,929.422882549866,1.09741638524124,690.654508069138,"Drsl1","Drosomycin-like 1 [Source:FlyBase gene name;Acc:FBgn0052274]",312.49203868956,6.62773106993084,0.74034538854774,8.95221496946417,3.48419620833156e-19,7.88149211263967e-17
"8865","FBgn0039469",323.588514436914,12.4252443403132,4.41815115470322,9.45793404208567,3588.69523968868,2996.47127477734,18.3633503905825,383.525252871381,"TwdlC","TweedleC [Source:FlyBase gene name;Acc:FBgn0039469]",917.118120212751,7.35198358526229,0.835677049116151,8.79763730862068,1.39726783657343e-18,3.10714474844803e-16
"5594","FBgn0034247",533.264588312101,16.5708884387418,11.0415040317513,28.3688992519415,520.777087333429,670.421770096248,12.6287735178827,133.154229466543,"CG6484","",240.77846755608,4.75176310537668,0.543339819888871,8.74547186022286,2.22085573325e-18,4.77666020003935e-16
"10488","FBgn0052633",671.650979820024,136.341879520009,156.902796637278,68.1567898385135,788.344971789384,1417.3930160327,132.56673151773,1281.32570181168,"CG32633","",581.585358370916,3.07494611960763,0.354518690735068,8.67357970106445,4.18743818055821e-18,8.86115950466511e-16
"2650","FBgn0028871",53.4142974638228,2.48112648361944,7.75002980445466,1.89377219861805,94.6801769779577,127.809684666922,3.43586859533707,125.613127715115,"Cpr35B","Cuticular protein 35B [Source:FlyBase gene name;Acc:FBgn0028871]",52.1347604882309,4.73187262556882,0.546877690005896,8.65252452612905,5.0372527102367e-18,1.04902786600485e-15
"7016","FBgn0036592",1638.818135085,14.0533136534821,11.0790604152021,7.57758455738692,1435.49759333594,1174.29130858271,17.1688846740323,81.6825904076206,"CG13049","",547.521058838921,6.44183356660517,0.756841405844037,8.51147085355508,1.71740704875482e-17,3.52068444994738e-15
"961","FBgn0010052",11888.7502030792,1074.29866813902,2141.04674553309,1380.37291873648,11324.6968446468,11854.5690900186,1630.8106251627,5617.06670098178,"Jhe","Juvenile hormone esterase [Source:FlyBase gene name;Acc:FBgn0010052]",5863.95147453721,2.70824416157541,0.319167915145899,8.48532710544355,2.15112748279026e-17,4.34196808833973e-15
"6231","FBgn0035281",286.088392519052,19845.3574453743,12990.1077305929,31265.6149596102,382.215145597067,206.448677965491,10243.8056944937,1222.15492804251,"Cpr62Bc","Cuticular protein 62Bc [Source:FlyBase gene name;Acc:FBgn0035281]",9555.22412177441,-5.14780365319873,0.612695079891889,-8.40190140600945,4.39306615641569e-17,8.73288302608695e-15
"5291","FBgn0033760",3862.34193537128,318.697462560924,465.810507284523,534.112563523835,2199.74392819231,2996.89516888878,406.202111678853,1592.51020520883,"CG8785","",1547.03923533867,2.6267552537074,0.313570818086225,8.37691233431391,5.43342871793809e-17,1.0639788773037e-14
"5625","FBgn0034291",220.657117763926,6.61924231100183,6.63853803012109,2.8397481268736,57.1715981951141,240.509740023497,3.43788327552531,421.212438919777,"CG5770","",119.88578833073,5.58116435216276,0.669145440937858,8.34073433174757,7.38305994990593e-17,1.42449627268773e-14
"8384","FBgn0038714",61.5014788187745,1934.05319975847,2320.17121134911,7339.2132141903,66.5244987581347,121.274768462166,1101.06149192672,144.581560276377,"Cpr92A","Cuticular protein 92A [Source:FlyBase gene name;Acc:FBgn0038714]",1636.04767794251,-5.01051046266453,0.603924063850396,-8.29659018837464,1.07142187682795e-16,2.03725435130183e-14
"4334","FBgn0032125",42.1673609964736,1474.51101596198,4847.26748490146,43150.316565415,20.6293441790127,45.1292285164152,980.684270127764,25.2693489050329,"Cpr30B","Cuticular protein 30B [Source:FlyBase gene name;Acc:FBgn0032125]",6323.2468273754,-8.56590575410637,1.0345928715199,-8.27949427248845,1.23699483335711e-16,2.31848174480646e-14
"1105","FBgn0011202",3045.95270377894,1217.01002808635,1261.07856325703,1326.00898039683,3282.42836011417,3260.06543107115,1473.02227885843,2351.86180164862,"dia","diaphanous [Source:FlyBase gene name;Acc:FBgn0011202]",2152.17851840144,1.17823214632911,0.142814184238374,8.25010591638781,1.58254203117781e-16,2.92435935902152e-14
"8151","FBgn0038337",175.510672148353,15.8065026241271,26.0406290198747,30.7541554153989,133.309374120818,353.925948579823,17.6795552964909,353.611382862723,"CG6125","",138.329777508451,3.49535822118746,0.431510979546981,8.10027643991129,5.48344425500154e-16,9.99205397578059e-14
"6295","FBgn0035410",359.544440806243,1655.50661038007,1380.23724002527,1476.88021591129,398.818290362807,509.148404525605,969.179662733326,443.945305055921,"CG14964","",899.157521225066,-1.68023675991022,0.207954133753429,-8.07984303838116,6.48501888453515e-16,1.16552668171371e-13
"4721","FBgn0032773",47215.9449427943,2940.83186081261,3266.40162521538,3802.54937995374,28009.1103856589,31073.5930364165,4763.69857110355,13506.5438801999,"fon","fondue [Source:FlyBase gene name;Acc:FBgn0032773]",16822.3342102694,3.01965920917531,0.374523529015665,8.06266889856473,7.46465051988522e-16,1.32346236244451e-13
"3143","FBgn0030271",10819.0681227119,44.8266708478356,169.705579334891,267.763197924025,5863.65434318035,4738.52672808486,83.9455948782738,1651.53586759526,"CG15202","",2954.87826306967,5.34888999420592,0.664390434118448,8.05082331039751,8.22389236424139e-16,1.43863290425129e-13
"3244","FBgn0030432",277.323248653181,737.480475157359,726.419333092828,846.274735402122,371.832053795298,353.957300884452,687.788837600685,380.978702025042,"CG4404","",547.756835826371,-1.11504172182109,0.139234448674225,-8.00837531543666,1.16233722245252e-15,1.98050186475027e-13
"1724","FBgn0020641",46782.1364958145,142.139097492011,159.878134087199,121.916165923805,18292.5279153496,12805.3805057842,253.683294922399,709.951929441054,"Lcp65Ad","Lcp65Ad [Source:FlyBase gene name;Acc:FBgn0020641]",9908.45169235184,6.85799038067354,0.868848913348522,7.89319095105156,2.9455640249175e-15,4.95458974447662e-13
"3824","FBgn0031324",113.004770448589,27.290795117128,38.7535257386901,22.7262357555141,104.057231029233,106.333371892941,22.9040021211376,83.7274011274988,"CG14342","",64.8496666538414,1.87104496422817,0.237711734250304,7.87106690432878,3.51629518535066e-15,5.83972061162034e-13
"5723","FBgn0034470",398.776469077263,42.9291509425007,69.2699953415578,67.0475044530813,395.153823287973,1173.14354243217,47.5303603417216,1505.88312543461,"Obp56d","Odorant-binding protein 56d [Source:FlyBase gene name;Acc:FBgn0034470]",462.46674641386,3.93754160102267,0.500833786105839,7.86197279468395,3.7813017161691e-15,6.20133481451732e-13
"6548","FBgn0035816",140.248649948018,326.54199093485,379.761845603021,492.479119336131,155.497051825888,137.532817060403,339.444136697348,155.83277363044,"CG13685","",265.917298129512,-1.38423641851658,0.176407233493451,-7.84682346128377,4.26707250839794e-15,6.91160386545443e-13
"9325","FBgn0040507",518.102972214988,123.532721354651,103.702307439663,106.762154180899,396.025628097439,474.839933947234,149.41307843965,294.541330188829,"ACXD","ACXD [Source:FlyBase gene name;Acc:FBgn0040507]",270.865015732919,1.80097434189344,0.233018869201758,7.72887770017491,1.08498846218813e-14,1.73598153950102e-12
"10487","FBgn0052631",206.918077913313,34.784943005764,23.2010032053636,31.2149651439085,813.162502973824,15301.676563297,35.5711422069041,33849.7999631338,"CG32631","",6287.04114510999,8.65117863846807,1.12577283701117,7.68465746734145,1.53406882411547e-14,2.42493770751747e-12
"7771","FBgn0037724",121.947594765098,9.10842824042935,14.3670962397056,4.73026609378977,120.861458648095,509.738575724916,6.88280213314307,726.113509793499,"Fst","Frost [Source:FlyBase gene name;Acc:FBgn0037724]",189.218716454834,5.40120981338869,0.703170607507932,7.68122238859047,1.57577650734081e-14,2.46121283051327e-12
"4954","FBgn0033203",102.950706052513,7.00171687978101,21.0347896695247,9.00211468935416,1626.54685859877,1813.08588617136,12.1242325395182,356.282599443397,"CG2070","",493.503613005528,6.31963322153774,0.82296545128864,7.6790990577334,1.60211318327435e-14,2.47290881935993e-12
"4002","FBgn0031619",2646.5113615826,192.663514810077,414.410769930765,266.145433248107,5146.81147851768,33762.0843120483,344.402582279562,54731.5666268301,"CG3355","",12188.0745099059,6.30543122726106,0.82415678271958,7.650766649586,1.99784597355556e-14,3.04787664802895e-12
"2564","FBgn0028544",1331.15681148087,61421.0873741327,28699.3007601342,38571.6244210513,1177.48385311311,1206.93694459679,37299.435682585,5202.42036159398,"CG16884","",21863.680776086,-4.2182221788146,0.551742096857584,-7.64527884103687,2.08493014505776e-14,3.14417051760435e-12
"10339","FBgn0052191",12.3250368846306,297.148224346979,74.2477182160736,135.7567839982,15.0468587757752,5.38454145326162,201.749436175745,5.90592714954106,"CG32191","",93.4455658750257,-4.19185107827744,0.549008098613138,-7.63531738214167,2.25264799048257e-14,3.35849336762855e-12
"11051","FBgn0085234",64.6343624245445,1331.53926747702,5431.05167883406,32741.6933452512,55.2924731854438,67.6347551531879,786.321899901156,38.0470791178405,"CG34205","",5064.52685766805,-7.48065918069502,0.980310437777174,-7.63090842698482,2.33105221098991e-14,3.4363376413694e-12
"4594","FBgn0032538",1252.59980920808,60606.3348809916,27609.5606390407,36618.9048046205,1226.26087420963,1194.16016785112,35175.1936235926,5075.38714625649,"CG16885","",21094.8002432213,-4.19297304560136,0.550573600864257,-7.6156449183533,2.62378072760112e-14,3.78285748858535e-12
"4095","FBgn0031747",6119.37235438658,13.3454057967646,214.827625702467,14.293276056156,2948.09272179967,9337.73240566942,26.5772538278899,11630.0158123217,"CG9021","",3788.03210694508,6.80501003719353,0.897530616895638,7.58192523919748,3.40464457445727e-14,4.80311148568595e-12
"7020","FBgn0036597",137.703137412459,2311.08238614941,8039.38631790709,40325.6984224897,126.565121947087,99.8999598569277,1344.18103001912,112.881010826823,"CG4962","",6562.17467332608,-6.76874888719204,0.90030154500448,-7.51831308604314,5.54874999419756e-14,7.66311578146021e-12
"4214","FBgn0031940",132.28108949847,28655.5793831664,32141.750477802,189668.904355813,490.078386002348,304.839886370379,14511.7147360495,1466.40941398883,"CG7214","",33421.4447160864,-6.79047062085676,0.911729167739609,-7.44790323829601,9.48353327413588e-14,1.26963220976187e-11
"2830","FBgn0029719",162.58630290515,387.119544375946,300.109727426724,440.504966796371,176.050074782483,164.063291007733,341.200043995673,156.883724363357,"CG15473","",266.06470945668,-1.15700982024678,0.156399875660719,-7.39776688030559,1.38493700767142e-13,1.83539126673222e-11
"8970","FBgn0039648",50.4558755230589,854.92412446151,1967.77842678222,3183.43857542392,51.5876930548072,66.6476390165837,554.542898651559,140.665034182984,"CG14515","",858.755033387081,-4.40620309058133,0.600005063360143,-7.34360984539989,2.07908612651125e-13,2.72776099798276e-11
"12366","FBgn0263762",107.905639330788,2.93537662726767,7.99940476737015,6.80554926937562,67.1993103546138,302.244584688448,10.8107944669926,422.335457107389,"CG43679","",116.029514576531,5.00681493997689,0.68331956028462,7.32719393820868,2.35021603897293e-13,3.05295390409157e-11
"2076","FBgn0025643",451.224989115923,14.5962845806791,24.6205877870139,34.8001790500153,207.636090135949,148.961152782623,16.7658536759621,171.706698111068,"CG3588","",133.788979404904,3.4356291056169,0.469282708001764,7.32102216219735,2.46089189153299e-13,3.16538251146204e-11
"9594","FBgn0043792",435.315744078988,9360.96349751402,8921.81315517127,3995.69424072815,791.879391974809,466.813674807003,6093.6002173434,1329.91584531055,"CG30427","",3924.49947086602,-3.2298734870562,0.441478819217375,-7.31603272107573,2.55409409113715e-13,3.25337033744849e-11
"7858","FBgn0037870",57.5248696653287,1.65405827578655,5.5358654523441,1.89379394950772,35.6225009900569,108.478310310675,1.14526545371211,64.2641471048064,"CG18577","",34.5148514002772,4.72905114176996,0.648323621891727,7.29427554709666,3.00270347857399e-13,3.78802592681642e-11
